,is_canceled,lead_time,arrival_month_num,stays_in_weekend_nights,stays_in_week_nights,total_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,family_size
is_canceled,1.0,0.2931233557607183,0.011021783079191204,-0.0017910780782638006,0.02476462904587041,0.017779269228089648,0.0600172128395559,0.005036254836439663,-0.032491089208332935,-0.08479341835709013,0.11013280822284209,-0.05735772316594581,-0.1443809910613265,0.05418582411778067,0.047556597880389954,-0.19549781749449857,-0.23465777396902457,0.04652175550571706
lead_time,0.2931233557607183,1.0,0.1314236634427658,0.08567113294880395,0.16579936387933367,0.1571669715482105,0.11951869261297539,-0.037612816057241774,-0.020915016274890397,-0.12440990799896122,0.08604180192778885,-0.07354816794373444,0.00014883007277769579,0.17008418426378175,-0.0630768525168192,-0.11645057013918571,-0.09571204885480938,0.07226504643977226
arrival_month_num,0.011021783079191204,0.1314236634427658,1.0,0.01844000381005561,0.019211796420479505,0.02153562158110642,0.028533738796813184,0.005436834598784024,0.010171543088036361,-0.030729222497307376,0.03747933576599734,-0.02164042377176647,0.004808796810296945,0.019044794247479235,0.07931476945925309,0.00025702947486463745,0.02802550564267607,0.027251653059064556
stays_in_weekend_nights,-0.0017910780782638006,0.08567113294880395,0.01844000381005561,1.0,0.49896881849553143,0.7627899495292615,0.09187102011631851,0.045793885336909895,0.018482810453094585,-0.08723937875528569,-0.012774618878822905,-0.042715234950254644,0.06328131589027766,-0.05415111348359235,0.04934190602595932,-0.018553809176170607,0.07267083049399106,0.10142603764940294
stays_in_week_nights,0.02476462904587041,0.16579936387933367,0.019211796420479505,0.49896881849553143,1.0,0.9410050140022169,0.09297551260391142,0.04420335321482223,0.020190974360632153,-0.09724497214044736,-0.0139924309361773,-0.048742549533273734,0.09620944596835257,-0.0020198100992144074,0.0652374802653361,-0.024859422747840417,0.06819178170957102,0.10166456602373017
total_nights,0.017779269228089648,0.1571669715482105,0.02153562158110642,0.7627899495292615,0.9410050140022169,1.0,0.10524884798279675,0.05086456872588635,0.022282970282871316,-0.10662605741305625,-0.015428898433924651,-0.053049450531549955,0.09649837580213018,-0.022651728829590805,0.06794502658530237,-0.025794152503399042,0.07925877971139597,0.11546335103821719
adults,0.0600172128395559,0.11951869261297539,0.028533738796813184,0.09187102011631851,0.09297551260391142,0.10524884798279675,1.0,0.03044035949722246,0.01814564187605585,-0.14642611573962835,-0.006738096139610638,-0.10798317248275179,-0.051672773531430634,-0.008283347421433496,0.23064121552351236,0.014784817202464414,0.12288354569972598,0.821104557963179
children,0.005036254836439663,-0.037612816057241774,0.005436834598784024,0.045793885336909895,0.04420335321482223,0.05086456872588635,0.03044035949722246,1.0,0.024030234816430535,-0.03285774090349954,-0.024729165673581986,-0.021071663793861328,0.04895169903129343,-0.03327141623545409,0.3248530297425222,0.056254947408029624,0.08173584130733509,0.5793644585896504
babies,-0.032491089208332935,-0.020915016274890397,0.010171543088036361,0.018482810453094585,0.020190974360632153,0.022282970282871316,0.01814564187605585,0.024030234816430535,1.0,-0.008942634060322334,-0.007500998451213155,-0.006550454279340449,0.08343978142332378,-0.01062054267871867,0.02918569025619876,0.037383355906134896,0.09788879209575425,0.16268766078569719
is_repeated_guest,-0.08479341835709013,-0.12440990799896122,-0.030729222497307376,-0.08723937875528569,-0.09724497214044736,-0.10662605741305625,-0.14642611573962835,-0.03285774090349954,-0.008942634060322334,1.0,0.08229323421675043,0.41805599493690854,0.012091787335539152,-0.02223496533239242,-0.1343144466634143,0.07708957299331302,0.01305000861812593,-0.13674790389771796
