feature,importance
cat__deposit_type_Non Refund,0.11623237843916752
cat__country_grouped_PRT,0.10811312753802757
num__lead_time,0.09957992227959372
cat__deposit_type_No Deposit,0.07037173695434151
num__total_of_special_requests,0.06666275840196473
cat__market_segment_Online TA,0.040629977385519114
num__required_car_parking_spaces,0.039100148233749944
num__adr,0.036140830025444055
num__previous_cancellations,0.03232701839564299
cat__customer_type_Transient,0.02253197863822689
num__arrival_date_year,0.02218000461462482
cat__market_segment_Offline TA/TO,0.02208493779170914
num__booking_changes,0.021534126052923225
cat__customer_type_Transient-Party,0.019681763092009568
cat__assigned_room_type_A,0.01920204686457285
num__arrival_date_week_number,0.01862687160593666
num__total_nights,0.017000073339090472
cat__market_segment_Groups,0.0159569481886077
num__arrival_date_day_of_month,0.015619222180261105
cat__distribution_channel_TA/TO,0.013270444149030393
