feature,correlation_with_is_canceled
is_canceled,1.0
lead_time,0.2931233557607183
previous_cancellations,0.11013280822284209
adults,0.0600172128395559
days_in_waiting_list,0.05418582411778067
adr,0.047556597880389954
family_size,0.04652175550571706
stays_in_week_nights,0.02476462904587041
total_nights,0.017779269228089648
arrival_month_num,0.011021783079191204
children,0.005036254836439663
stays_in_weekend_nights,-0.0017910780782638006
babies,-0.032491089208332935
previous_bookings_not_canceled,-0.05735772316594581
is_repeated_guest,-0.08479341835709013
booking_changes,-0.1443809910613265
required_car_parking_spaces,-0.19549781749449857
total_of_special_requests,-0.23465777396902457
